,Año,Clave_Ent,Entidad,Cve. Municipio,Municipio,Tipo de delito,Subtipo de delito,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
83,2015,1,Aguascalientes,1001,Aguascalientes,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,9,14,8,5,16,19,8,15,15,15,12,5
181,2015,1,Aguascalientes,1002,Asientos,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,0,0,0,0,0,0,0,0,0,0,0,0
279,2015,1,Aguascalientes,1003,Calvillo,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,0,0,1,0,0,0,0,0,0,0,0,0
377,2015,1,Aguascalientes,1004,Cosío,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,0,0,0,0,0,0,0,0,0,0,0,0
475,2015,1,Aguascalientes,1005,Jesús María,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,0,0,1,0,1,1,0,0,0,0,0,0
573,2015,1,Aguascalientes,1006,Pabellón de Arteaga,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,0,0,0,0,0,0,0,0,0,0,0,0
671,2015,1,Aguascalientes,1007,Rincón de Romos,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,0,0,0,0,0,1,0,0,0,1,0,0
769,2015,1,Aguascalientes,1008,San José de Gracia,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,0,0,0,0,1,0,0,0,0,0,0,0
867,2015,1,Aguascalientes,1009,Tepezalá,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,0,0,0,0,0,0,1,0,0,0,0,0
965,2015,1,Aguascalientes,1010,El Llano,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,0,0,1,0,0,0,0,0,0,0,0,0
1063,2015,1,Aguascalientes,1011,San Francisco de los Romo,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,0,0,0,0,0,0,0,0,0,0,0,0
1161,2015,2,Baja California,2001,Ensenada,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,17,14,12,15,19,16,17,11,20,14,13,20
1259,2015,2,Baja California,2002,Mexicali,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,21,23,35,30,28,52,65,49,59,49,45,35
1357,2015,2,Baja California,2003,Tecate,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,7,9,11,7,12,12,6,7,11,12,10,0
1455,2015,2,Baja California,2004,Tijuana,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,106,98,118,88,90,85,93,118,98,79,80,52
1553,2015,2,Baja California,2005,Playas de Rosarito,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,13,12,3,3,2,5,4,5,2,10,9,7
1651,2015,3,Baja California Sur,3001,Comondú,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,3,4,17,9,7,9,7,4,4,16,8,1
1749,2015,3,Baja California Sur,3002,Mulegé,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,5,8,6,7,0,6,5,5,3,8,6,2
1847,2015,3,Baja California Sur,3003,La Paz,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,12,4,7,12,7,17,18,13,10,9,9,12
1945,2015,3,Baja California Sur,3008,Los Cabos,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,18,13,24,13,19,24,15,31,31,17,19,10
2043,2015,3,Baja California Sur,3009,Loreto,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,0,1,1,1,1,0,1,1,0,3,3,0
2141,2015,4,Campeche,4001,Calkiní,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,0,0,0,0,0,0,0,0,0,1,1,1
2239,2015,4,Campeche,4002,Campeche,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,0,0,0,0,0,0,0,0,0,0,0,0
2337,2015,4,Campeche,4003,Carmen,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,1,0,0,1,1,1,0,0,0,0,0,0
2435,2015,4,Campeche,4004,Champotón,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,0,0,0,0,0,0,0,0,0,0,0,0
2533,2015,4,Campeche,4005,Hecelchakán,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,0,0,0,0,0,0,0,0,0,0,0,0
2631,2015,4,Campeche,4006,Hopelchén,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,0,0,0,0,0,0,0,0,1,0,0,0
2729,2015,4,Campeche,4007,Palizada,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,0,0,0,0,0,0,0,0,0,0,0,0
2827,2015,4,Campeche,4008,Tenabo,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,0,0,0,0,0,0,0,0,0,0,1,0
2925,2015,4,Campeche,4009,Escárcega,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,0,0,0,0,0,0,0,0,0,0,0,0
3023,2015,4,Campeche,4010,Calakmul,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,0,0,0,0,0,0,0,0,0,0,0,0
3121,2015,4,Campeche,4011,Candelaria,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,1,1,0,1,0,0,1,0,0,0,0,0
3219,2015,5,Coahuila de Zaragoza,5001,Abasolo,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,0,0,0,0,0,0,0,0,0,0,0,0
3317,2015,5,Coahuila de Zaragoza,5002,Acuña,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,8,10,18,28,20,19,27,16,20,18,9,5
3415,2015,5,Coahuila de Zaragoza,5003,Allende,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,1,3,3,3,2,4,5,0,4,2,3,1
3513,2015,5,Coahuila de Zaragoza,5004,Arteaga,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,0,0,0,0,0,0,0,0,0,0,0,0
3611,2015,5,Coahuila de Zaragoza,5005,Candela,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,0,0,0,0,0,0,0,0,0,0,0,0
3709,2015,5,Coahuila de Zaragoza,5006,Castaños,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,0,0,1,0,3,0,1,1,0,0,0,0
3807,2015,5,Coahuila de Zaragoza,5007,Cuatro Ciénegas,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,0,0,0,0,0,0,0,0,0,0,0,0
3905,2015,5,Coahuila de Zaragoza,5008,Escobedo,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,0,0,0,0,0,0,0,0,0,0,0,0
4003,2015,5,Coahuila de Zaragoza,5009,Francisco I. Madero,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,0,0,0,1,0,0,0,0,1,0,0,0
4101,2015,5,Coahuila de Zaragoza,5010,Frontera,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,0,1,2,0,0,0,0,0,0,0,2,0
4199,2015,5,Coahuila de Zaragoza,5011,General Cepeda,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,0,0,0,0,0,0,0,0,0,0,0,0
4297,2015,5,Coahuila de Zaragoza,5012,Guerrero,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,0,0,0,0,0,0,0,0,0,0,0,0
4395,2015,5,Coahuila de Zaragoza,5013,Hidalgo,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,0,0,0,0,0,0,0,0,0,0,0,0
